Ranking,Mark,WIND,Competitor,DOB,Nat,Pos,Venue,Date,Results Score,Event
39,13.29,0.8,Adaobi TABUGBO,03 OCT 2001,NGR,6h2,"Hornet Stadium - Sac St., Sacramento, CA (USA)",27 MAY 2023,1111,Women's 100mH
39,52.4,,Queen USUNOBUN,18 JAN 2005,NGR,2h1,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1111,Women's 400m
41,52.46,,Abike Funmilola EGBENIYI,23 OCT 1994,NGR,1f3,"Vanderbilt Track, Nashville, TN (USA)",03 JUN 2023,1109,Women's 400m
42,10.29,0.9,Charles OKEZE,,NGR,4f1,"National Training Center, Clermont, FL (USA)",14 MAY 2023,1108,Men's 100m
43,46.07,,Dubem AMENE,10 NOV 2002,NGR,4pr5,"Jax Track at Hodges Stadium, Jacksonville, FL (USA)",24 MAY 2023,1107,Men's 400m
44,11.45,0.0,Victory OWHOVORIOLE,04 JUL 2002,NGR,1,"Ahmadu Bello Stadium, Kaduna (NGR)",30 MAR 2023,1104,Women's 100m
45,46.13,,Johnson NNAMANI,28 JUL 2003,NGR,1h3,"Samuel Ogbemudia Stadium, Benin City (NGR)",05 JUL 2023,1103,Men's 400m
46,11.46,0.9,Ese BRUME,20 JAN 1996,NGR,3f3,"Tom Tellez Track, Houston, TX (USA)",05 MAY 2023,1102,Women's 100m
47,52.67,,Opeyemi Deborah OKE,29 OCT 2004,NGR,1,"Levy Mwanawasa Stadion, Ndola (ZAM)",30 APR 2023,1101,Women's 400m
48,10.32,0.7,Israel Okon SUNDAY,11 NOV 2006,NGR,2,"Godswill Akpabio International Stadium, Uyo (NGR)",24 JUN 2023,1099,Men's 100m
48,10.32,0.6,Enoch ADEGOKE,08 MAR 2000,NGR,4h1,"Paul-Greifzu-Stadion, Dessau (GER)",17 JUN 2023,1099,Men's 100m
50,23.39,0.8,Blessing ODIONG,,NGR,3f1,"Percy Beard Track, Gainesville, FL (USA)",31 MAR 2023,1096,Women's 200m
